longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.32,37.92,22,1119,220,565,199,3.3594,186900,NEAR BAY
-122.04,37.96,16,2913,723,1705,693,2.9097,106300,NEAR BAY
-122.05,37.96,35,2190,384,1154,401,3.8456,159800,NEAR BAY
-122.16,39.74,20,707,126,337,125,3.0469,85000,INLAND
-119.85,36.75,24,1143,245,608,240,2.8194,81100,INLAND
-122.16,37.76,45,2299,514,1437,484,2.5122,95500,NEAR BAY
-122.2,37.77,39,2689,597,1888,537,2.2562,94800,NEAR BAY
-121.91,37.68,18,3631,547,1700,520,5.817,257300,<1H OCEAN
-122.25,37.87,52,609,236,1349,250,1.1696,500001,NEAR BAY
-122.23,37.8,52,1252,299,844,280,2.3929,111900,NEAR BAY
-119.74,36.77,30,2427,482,1375,518,2.5737,76900,INLAND
-122.18,37.74,35,504,126,323,109,1.8438,90500,NEAR BAY
-122.03,37.62,32,2964,547,1472,527,4.2468,221200,NEAR BAY
-119.69,36.8,31,2576,458,1306,418,3.2813,68700,INLAND
-122.25,38.0,16,2978,411,1531,400,6.5006,237700,NEAR BAY
-121.87,37.99,15,2203,312,1051,311,4.9783,163900,INLAND
-122.21,37.83,40,4991,674,1616,654,7.5544,411500,NEAR BAY
-119.54,36.7,20,1815,375,1665,357,2.2448,58900,INLAND
-121.94,37.73,22,1980,291,861,290,6.2726,258200,<1H OCEAN
-120.25,36.65,31,1177,221,744,223,2.4937,66000,INLAND
-122.03,37.54,35,1867,343,1213,338,4.8214,186000,NEAR BAY
-120.38,36.76,25,991,272,941,262,1.8125,58000,INLAND
-122.26,37.85,50,1120,283,697,264,2.125,140000,NEAR BAY
-122.01,37.91,21,10093,1269,3645,1219,7.6877,367700,NEAR BAY
-121.61,37.77,32,404,74,144,58,4.2083,125000,INLAND
-119.82,36.78,36,1582,313,761,318,2.6055,69200,INLAND
-121.88,37.64,20,1309,184,514,172,10.9506,475800,INLAND
-119.85,36.8,14,1876,324,1031,311,3.6563,88800,INLAND
-122.0,37.55,27,6103,1249,3026,1134,4.1591,332400,<1H OCEAN
-122.34,37.93,45,2225,486,1304,459,2.64,112100,NEAR BAY
-122.07,37.59,15,3475,686,2568,653,4.6211,151400,NEAR BAY
-122.23,38.06,52,1350,266,490,257,3.125,171100,NEAR BAY
-122.11,37.99,16,3913,710,1782,676,5.1297,206700,NEAR BAY
-122.27,37.85,52,1974,426,875,363,1.5817,153600,NEAR BAY
-120.91,38.73,11,5460,859,2645,838,4.835,230600,INLAND
-122.2,37.78,45,1766,332,869,327,4.5893,163500,NEAR BAY
-120.62,38.71,10,6305,1150,2597,921,4.0197,132200,INLAND
-119.97,38.94,26,1485,334,406,180,1.9667,84600,INLAND
-122.23,37.82,52,3051,381,1005,369,8.1872,466100,NEAR BAY
